From_ID,To_ID,Distance_Miles,Time_Mins
27,19,316.9136,281.5166666666667
27,20,333.9292,296.8333333333333
27,21,335.1813,280.2333333333333
27,22,247.9805,207.7333333333333
27,23,378.2889,322.4
27,24,302.6792,263.85
27,25,70.599,68.53333333333333
27,28,144.7528,148.8
27,29,48.4135,47.35
27,30,107.0616,104.5833333333333
27,31,96.5984,94.98333333333333
27,32,118.0904,128.1333333333333
27,33,198.0764,164.8666666666667
27,34,105.1783,106.3833333333333
27,35,54.6465,54.9
27,36,173.0923,166.4666666666667
27,37,212.3766,178.9833333333333
28,1,86.1078,88.75
28,2,86.2066,87.33333333333333
28,3,76.6579,78.36666666666666
28,4,95.3817,96.26666666666667
28,5,86.8783,89.15
28,6,72.4656,76.26666666666667
28,7,71.7584,79.3
28,8,128.9488,118.4833333333333
28,9,86.25,90.2
28,10,128.8569,114.6166666666667
28,11,119.7357,105.7
28,12,135.0314,118.6666666666667
28,13,148.824,147.8333333333333
28,14,120.405,104.7333333333333
28,15,125.0833,110.05
28,16,311.0982,257.1666666666667
28,17,257.5341,216.7
28,18,302.6637,248.7833333333333
28,19,227.6984,203.4666666666667
28,20,230.6281,205.5166666666667
28,21,212.2331,182.4
28,22,125.0323,109.9
28,23,255.3407,224.5666666666667
28,24,228.065,204.95
28,25,129.037,132.0
28,27,142.4872,147.0833333333333
28,29,95.6589,104.1166666666667
28,30,141.2383,134.6666666666667
28,31,111.382,113.7666666666667
28,32,182.0748,164.35
28,33,186.4486,164.7666666666667
28,34,182.6887,172.6666666666667
28,35,185.9633,180.8333333333333
28,36,88.9953,86.46666666666667
28,37,208.0463,186.0833333333333
29,1,47.2168,45.53333333333333
29,2,40.1257,39.26666666666667
29,3,45.6528,43.21666666666667
29,4,37.6296,38.93333333333333
29,5,40.5022,39.45
29,6,58.279,57.93333333333333
29,7,43.6532,45.53333333333333
29,8,74.293,68.2
29,9,47.0111,46.01666666666667
29,10,150.3339,128.6
29,11,150.8068,129.3833333333333
29,12,167.0109,144.0833333333333
29,13,192.5393,165.7833333333333
29,14,151.2877,128.7
29,15,154.1212,132.6833333333333
29,16,389.9123,319.7833333333334
29,17,336.3482,279.3166666666667
29,18,381.4778,311.4
29,19,272.7795,246.3
29,20,289.7951,261.6166666666667
29,21,291.0472,245.0166666666667
29,22,203.8464,172.5166666666667
29,23,334.1548,287.1833333333333
29,24,258.5451,228.6333333333333
29,25,28.2544,33.75
29,27,48.0718,46.11666666666667
29,28,95.7993,104.65
29,30,119.9103,108.1333333333333
29,31,94.3384,89.03333333333333
29,32,86.3395,92.63333333333334
29,33,153.9422,129.65
29,34,98.478,93.51666666666667
29,35,99.7121,92.3
29,36,148.5767,143.0166666666667
29,37,168.2425,143.7666666666667
30,1,115.0257,97.86666666666666
30,2,112.9044,95.68333333333334
30,3,113.1331,95.45
30,4,121.6862,104.2
30,5,113.5761,97.5
30,6,126.976,109.5166666666667
30,7,97.362,81.48333333333333
30,8,148.0175,127.2
30,9,114.8201,98.35
30,10,220.3208,180.9166666666667
30,11,220.7937,181.7
